      1000  0.17E-04  0.15E-03  0.15E-03
      2000  0.75E-04  0.14E-04  0.52E-04
      3000  0.95E-04  0.63E-05  0.30E-04
      4000  0.72E-04  0.70E-05  0.16E-04
      5000  0.48E-04  0.35E-05  0.15E-04
      6000  0.48E-04  0.12E-05  0.72E-05
      7000  0.48E-04  0.87E-06  0.17E-05
      8000  0.71E-04  0.54E-04  0.81E-04
      9000  0.69E-04  0.62E-05  0.87E-05
     10000  0.70E-04  0.18E-05  0.35E-05
     11000  0.66E-04  0.16E-05  0.45E-05
     12000  0.58E-04  0.12E-05  0.80E-05
     13000  0.58E-04  0.66E-06  0.15E-05
     14000  0.58E-04  0.57E-06  0.10E-05
     15000  0.58E-04  0.62E-06  0.11E-05
     16000  0.15E-03  0.74E-04  0.11E-03
     17000  0.15E-03  0.74E-05  0.75E-05
     18000  0.15E-03  0.13E-05  0.25E-05
     19000  0.14E-03  0.23E-05  0.40E-05
     20000  0.14E-03  0.79E-06  0.33E-05
     21000  0.14E-03  0.64E-06  0.82E-06
     22000  0.14E-03  0.37E-06  0.82E-06
     23000  0.17E-03  0.46E-04  0.63E-04
     24000  0.18E-03  0.11E-04  0.15E-04
     25000  0.18E-03  0.26E-05  0.39E-05
     26000  0.18E-03  0.15E-05  0.21E-05
     27000  0.17E-03  0.21E-05  0.35E-05
     28000  0.17E-03  0.59E-06  0.17E-05
     29000  0.17E-03  0.60E-06  0.77E-06
     30000  0.16E-03  0.53E-06  0.62E-06
     31000  0.19E-03  0.46E-04  0.68E-04
     32000  0.19E-03  0.50E-05  0.66E-05
     33000  0.20E-03  0.15E-05  0.24E-05
     34000  0.19E-03  0.20E-05  0.30E-05
     35000  0.18E-03  0.16E-05  0.31E-05
     36000  0.18E-03  0.40E-06  0.95E-06
     37000  0.18E-03  0.23E-06  0.58E-06
     38000  0.18E-03  0.46E-06  0.87E-06
     39000  0.19E-03  0.48E-04  0.68E-04
     40000  0.20E-03  0.36E-05  0.58E-05
     41000  0.20E-03  0.26E-05  0.44E-05
     42000  0.19E-03  0.22E-05  0.31E-05
     43000  0.19E-03  0.23E-05  0.43E-05
     44000  0.19E-03  0.14E-05  0.22E-05
     45000  0.19E-03  0.71E-06  0.13E-05
     46000  0.20E-03  0.44E-04  0.85E-04
     47000  0.21E-03  0.54E-05  0.95E-05
     48000  0.21E-03  0.34E-05  0.55E-05
     49000  0.20E-03  0.20E-05  0.30E-05
     50000  0.20E-03  0.26E-05  0.53E-05
     51000  0.20E-03  0.20E-05  0.31E-05
     52000  0.20E-03  0.72E-06  0.13E-05
